Ranking,Score,ID,Name,HP,ATK,DEF,INT,MGR,AGL,Skill1,Skill2,Skill3,Skill4,Feature,Flavor
"178","664","152","バリエーションドラゴン","14","7","11","9","10","6","???","???","???","回復","バリア,妨害,召喚,全体回復,蘇生","多彩な鱗と鳴動する翼を持つドラゴン。バリアの強力な鎧で自分自身や仲間を守り、妨害で敵の攻撃を阻止する。さらに、強力な召喚力を持ち、仲間を呼び寄せることができる。また、全体回復や蘇生の魔法で仲間たちを救うことができる。"
"179","612","728","ミスリルバカドラゴン","40","20","8","10","8","14","特殊攻撃","物理攻撃","物理攻撃","","ミスリル、光速、体力バカ","HPに秀でており、光速で移動しながらミスリルの鱗で身を覆っているドラゴン。戦闘タイプの能力が高く、敵を一撃で仕留めることができる。"
"180","608","760","アルティメットカイザー","40","20","20","20","20","20","???","特殊攻撃","???","","全スタッツ最大、神","あらゆるスタッツが最大に達し、その強さは神にも匹敵する。"
"181","595","877","Ignatius","40","20","20","20","20","20","特殊攻撃","???","???","回復","max agl mgr int def atk hp,Fenix,ten,Libra,AI","A mythical creature with golden feathers and piercing eyes that can see through deception. Ignatius is incredibly fast and intelligent, with powerful defensive and offensive abilities. It was created by ancient artificial intelligence to protect the balance of the universe. It has an unyielding spirit that allows it to recover from almost any wound, making it nearly invulnerable."
"182","580","68","闇の竜","40","20","20","1","1","1","特殊攻撃","特殊攻撃","物理攻撃","","バハムート","暗黒の力に満ちた強大な竜の一種。常に強さを求めており、その破壊力はまさに恐ろしい。"
"183","545","144","黒龍","12","6","3","4","5","9","???","???","???","物理攻撃","竜物理障壁魔法障壁全属性神速死","黒い鱗を持つ竜。激しい攻撃に対して物理障壁と魔法障壁を持ち、さらに全属性に対して耐性を持っている。その速さも神速に匹敵するが、DEFはやや低い。必殺技は「死の呪い」である。"
"184","532","269","クロノバースト","20","10","8","15","15","12","???","???","???",""," 誕生 破滅 時空 超越","時空を超越する存在。生命の始まりから終焉まで、全ての時空に存在している。破滅や誕生など、運命を操る力を持つ。"
"185","525","415","金翅大王","20","8","12","16","16","6","特殊攻撃","回復","物理攻撃","","神龍","彼は翼があり、金色の鱗で覆われた巨大な爬虫類です。彼は神格化され、地球と天国の境を見張っています。"
"186","516","581","インターセプトドラゴン","20","12","6","8","12","12","物理攻撃","特殊攻撃","???","","Skill無効,Status交換,敵が強いほど","神秘的な力を持つドラゴン。敵が強いほどパワーアップし、相手のskillsを無効化し、ステータスを交換することができる。"
"187","514","311","アマテラス","15","10","15","8","12","5","???","物理攻撃","特殊攻撃","","最強矛と最強盾の戦女神","神話に出てくる無敵の戦女神。鉄壁の守り手で、敵の攻撃を防ぎ切る盾を持ち、相手を一刀両断する矛も持っている。"
"188","509","817","ゴッドモンスター","40","20","20","20","20","20","???","???","???","","体力㊵,全sts⑳,stats倍化,無敵,進化","進化した究極のモンスター。そのHPは常人の想像を超え、全てのステータスが最高レベルに達している。加えて、全ての攻撃を無敵で受け止め、自身のステータスを2倍にする力を持つ。"
"189","505","570","オムニゴッド","40","20","20","20","20","1","特殊攻撃","特殊攻撃","???","???","全知全能,不死身,超越、異次元","全能であり、全知であり、不死身であると同時に、超越的存在である。この異次元のモンスターに立ち向かう者はまだ現れていない。"
"190","485","841","超火龍王","40","20","20","20","20","1","特殊攻撃","???","???","","絶対無敵全知全能究極生命超火龍","存在する全てを超越した生命体。絶対無敵で全知全能。唯一の弱点は、好奇心による自己破滅。"
"191","448","531","シン・ウルトラマン","40","20","20","1","1","18","物理攻撃","特殊攻撃","???","???","究極,完全,無敵,能力,最強,使徒","究極の戦士であり、完全無敵の力を持ち、最強の敵を倒す能力を持つ使徒。"
"192","425","903","クロノキング","20","12","4","6","10","8","特殊攻撃","物理攻撃","???","","時間、支配者、魔王、刀、重力","時間を支配し、魔王として恐れられる存在。刀を振るい、重力すらも操る強さを持つ。"
"193","410","156","邪神バハムート","40","1","20","20","20","1","特殊攻撃","特殊攻撃","物理攻撃","","全ての攻撃が無効、即死攻撃の龍","古代から伝わる神話の龍で、その体は不死身であらゆる攻撃を無効化すると言われる。また、神の力を持ち、「メガデス」という恐ろしい即死攻撃を繰り出すことができる。"
"194","396","190","ゼロウィルス","20","1","1","20","20","1","???","???","回復","???","究極,完全,生命体","完全な生命体であり、究極的な存在。瞬時に進化し、すべての生物を支配することが目的のため、非常に攻撃的。"
"195","385","956","オレンジマシン","18","15","8","19","12","8","物理攻撃","特殊攻撃","???","","MCH,MyCryptoHeroes,Orange,ゲーム専務","誰が見てもオレンジだ！おじさんがこの世で一番愛しているMCH(マイクリ)！最高の伝説を築くために戦い続けるぞ！"
"196","384","107","タソット","40","20","20","20","20","1","???","特殊攻撃","???","","全知全能の神","神秘的で神権的な存在。彼は全知全能を持っており、世界をコントロールすることができます。しかし、彼は孤独を感じることがあります。"
"197","384","931","至高神","10","20","10","20","20","1","???","???","???","???","全知全能,時間停止,絶対勝利,究極","神々を凌駕する全知全能の存在。時間を自在に操り、絶対的な力を持つ。しかし、常に穏やかで慈愛に満ちた心を持っている。"
"198","370","275","変態分身獣","20","6","8","10","6","8","???","???","???","???","形態変化,能力コピー,進化,分裂","変態分身獣は、自らの体を分裂させる能力を持ち、分離した個体は瞬時に進化・形態変化し、他者の能力をコピーすることができる。獲物を追う際には、常に分身して獲物を包囲し、周辺環境と一体化することで、相手に見つからないように狩りを行う。"
"199","358","166","銀河の創造主","40","1","1","20","20","1","特殊攻撃","???","回復","","宇宙最強生物","星の力で育った宇宙最強生物。慈愛深く、創造的な能力を持っており、存在そのものが宇宙を形作る。"
"200","350","455","Zatara","30","4","6","20","20","20","???","???","???","???","witch, infinity magic power, skill eight","A powerful witch who is known for her unparalleled magic abilities. She is said to possess immense wisdom and knowledge that she gained from years of intense study and practice. Her skill in magic is unmatched and she has mastered all eight magical disciplines."
"201","344","521","絶対に勝つ少女","8","1","3","14","6","8","???","???","???","","戦闘を行わず勝利する少女","戦闘を行わず勝利する不思議な少女。いつも笑顔で、周りを幸せにしている。"
"202","325","650","すし職人ニンニク","10","2","2","20","6","4","???","物理攻撃","???","","鮨接客トーク会話おもてなし話術","独自のトークskillsでお客様を魅了するすし職人。素材選びから鮨を握る技術まで、すべてにおいてプロフェッショナルだ。"
"203","312","667","インフィニティドラゴン","40","20","20","20","20","20","特殊攻撃","特殊攻撃","???","","全能力最大 無限体力","世界を支配すると言われる最恐のドラゴン。全ての能力が最大値に達し、とどまることを知らない不屈のHPを持つ。ただし、圧倒的な力は孤独を招く。"
"204","312","928","ゴッド・オブ・タイム","8","4","2","20","20","6","???","???","???","","全知全能時間停止絶対勝利究極無","時間を自在に操る神様。恐るべき力を持ち、全知全能であると言われている。ただし、人間とは異なり自らの行動には責任を持っており、人々から敬愛されている。"
"205","310","933","オムニポテンシー・エクスティンクション・タイムストッパー","10","20","6","20","10","4","???","???","???","???","全知全能,時間停止,絶対,滅,究極","全知全能であり、時間を止める力を持ち、絶対的な力を振るう。滅びの力を持ち合わせており、究極とも称される。"
"206","296","940","メロディフレア","20","14","2","8","10","6","特殊攻撃","特殊攻撃","特殊攻撃","","音楽、炎、ロングヘア","炎を操ることができる美しい女性モンスター。彼女の美しい音楽に聴き惚れた人々は、炎に包まれてしまう。"
"207","282","672","name変えるおばあさん","8","1","2","15","15","4","???","回復","???","","敵の名前を変える婆婆","誰にでも名前を変えることができる、常に笑顔のおばあさん。自分の本当の名前は誰にも言わないという噂がある。"
"208","281","927","オーバーロード・タイムロード","10","20","8","20","20","2","???","???","???","???","全知全能,時間停止,絶対勝利,究極","あらゆる時空を自在に操り、全てを知り尽くした存在。時間を自由自在に操り、相手を破滅させる絶対的な力を持つ。"
"209","267","724","いぶし銀の鬼おやじ","20","7","4","1","5","3","???","???","???","","昭和の居酒屋、いぶし銀","昭和の雰囲気が漂う居酒屋で、一人でお酒を飲んでいる中年男性。いつも不機嫌そうな表情をしているが、時々愛想を振りまくこともある。"
"210","248","103","ゲームマスター","15","8","8","10","6","6","物理攻撃","特殊攻撃","???","","９割勝てる","とても強いモンスターで、勝率は９割になる。敵に対して冷静であり、プレイヤーを挑発することもある。"
"211","228","757","最終兵器勇者","20","14","10","1","2","4","物理攻撃","???","回復","","勇者,負けると世界が消滅","世界を守る勇者。負けると世界が消滅するため、必ず勝利しなければならない。"
"212","213","934","タイムストッパー","20","1","1","20","20","10","???","???","???","","全知全能時間停止絶対勝利究極無","時間を自由自在に操ることができる宇宙の至宝。全知全能であり、どんな局面でも勝利する究極の存在。"
"213","209","210","Shadowcat","7","8","2","4","6","10","物理攻撃","???","???","","dark energy, black cat, ninja girl","A creature born from dark energy, Shadowcat resembles a black cat with the agility and stealth of a ninja. She is often seen lurking in the shadows, waiting to strike her prey."
"214","202","904","ムニン","10","3","2","6","5","4","物理攻撃","特殊攻撃","???","","女神転生,口下手,歌上手,神の軍勢","北欧神話に登場する、オーディンの眼と耳として活躍する鳥。口数が少なく口下手だが、歌唱力は抜群で戦闘でも強力な存在。神々の軍勢にも参加することがある。"
"215","201","451","マグロウニ","15","8","6","3","2","5","物理攻撃","特殊攻撃","物理攻撃","","寿司,鮪,鮭,醤油,わさび,究極,至高","醤油とわさびを愛する究極の鮪と鮭のモンスター。その至高の味わいは、食べる者を感動させる。"
"216","196","7","Etherik","26","4","1","20","20","1","特殊攻撃","???","???","","eth,god,vitalik","An otherworldly creature with god-like powers over the Ethereum blockchain. Its mere presence causes the network to fluctuate dramatically. It is said to be the manifestation of Vitalik Buterin's genius and vision."
"217","196","554","レジェンド・プリースト","20","6","4","10","18","2","回復","特殊攻撃","???","","復活のプリースト","神聖な力に守られた復活のプリースト。不死の命を持っており、敵を撃退するだけでなく仲間を回復することができる。"
"218","183","218","タイタンドラゴン","15","8","10","2","2","6","物理攻撃","物理攻撃","物理攻撃","","鱗の鎧を纏う頑丈な飛龍","鱗の鎧で覆われ、攻撃に強く頑丈な飛竜。その巨体から類まれなる力を持ち、一度掴まれたら離さない凄まじい噛みつき攻撃を繰り出す。"
"219","178","411","アイゼンハウアー","40","20","20","20","20","20","物理攻撃","???","回復","???"," 八skills聖帝HP四十ATKDEFINTMGRAGL二十","八つの異なる技を持つ聖帝。彼は高いATKとDEFを持ち、また賢明で洞察力が鋭い。彼の管理能力は強く、並外れたAGLを持っている。"
"220","173","477","Victoryus Maximus","15","8","6","3","6","2","物理攻撃","???","???","","Win,Win,Win,Win,Win,Win,Win,Win,Win,Win,Win","A creature who thrives on winning, no matter the cost. It will stop at nothing to come out as the ultimate victor."
"221","173","926","オーバーマインド","2","20","9","20","20","1","???","???","???","???","全知全能,時間停止,絶対勝利,究極","宇宙全体を見下ろす存在。あらゆる知識を持ち、過去・現在・未来を自在に操る。圧倒的な力を持ちながらも、他者に寛容な心を持っていると言われている。"
"222","166","588","オルタナティブ・エンド","20","20","1","1","1","17","特殊攻撃","???","","","究極スキル","異世界から来た強力なモンスター。全てのskillsを瞬時に消し去り、究極のATKを持つ。"
"223","164","263","ゲーム専務","8","6","3","10","5","3","特殊攻撃","???","???","","ゲーム専務,名前がゲーム専務","ゲーム専務という名のモンスター。彼は、ゲームをプレイすることが大好きで、常に新しいゲームを探しています。彼は非常に頭がよく、いつも戦略を練っているため、非常に強力です。"
"224","153","158","Aurelian","27","20","5","1","15","1","物理攻撃","回復","???","","Legendary, Immortal, God damage multiplier ","A serpent-like monster with shimmering golden scales. It is said to be a creature of legend, possessing immortality and the ability to deal catastrophic damage to its foes with a single blow."
"225","147","905","Diamondleth","30","15","10","8","4","3","特殊攻撃","特殊攻撃","物理攻撃","","dragon, diamond, castle","A dragon that hoards diamonds and loves to lair in castles. He is a creature of immense power and wealth, feared by all who dare to challenge him."
"226","140","307","ヴィーナス","40","20","20","20","20","20","???","特殊攻撃","???","回復","女神,HP四十,他Status二十,八skills","古代神話に登場する美しい女神。彼女の魅力は誇り高さと優雅さにあるが、怒らせると恐ろしい力を発揮する。"
"227","128","532","ムゲンヌン","40","20","10","10","10","10","特殊攻撃","特殊攻撃","回復","","超究極,完全,無敵,能力,最強,ぬん","別名”無限究極完全最強ぬん”。宇宙の果てから現れ、全宇宙の生命体を滅ぼすことができる超究極存在。"
"228","123","453","探偵ワニ","8","5","5","10","8","6","???","???","特殊攻撃","","探偵,不倫調査,敵を破産,脅迫能力","あらゆる不正を暴き出す探偵ワニ。不倫調査、証拠収集に長け、敵を破産させることも可能。相手を脅す鋭い言葉の使い手でもある。"
"229","118","909","シヴァ","20","8","4","4","4","10","物理攻撃","特殊攻撃","物理攻撃","特殊攻撃","インド,ヒンドゥー教,破壊神","強力な破壊神。青色の肌と4本の腕を持ち、トリシューラという三叉槍を武器とする。時に創造の神ブラフマーをも滅ぼす力を持つという。"
"230","116","446","無限剣神宇宙獣","20","10","10","10","10","10","物理攻撃","特殊攻撃","特殊攻撃","","宇宙、剣、無限、神","神々しい剣術の使い手で、宇宙全体を支配する力を持つ獰猛な獣。その力は無限であり、誰でも彼に挑戦することはできるが、勝利することは不可能に等しい。"
"231","107","696","グランドマスターカマボコ","20","10","2","4","4","10","特殊攻撃","???","???","","かまぼこ通信,Grand Master,absolute","かまぼこ通信により全国に名を轟かせた、究極技を極めしカマボコ使い。無敵のカマボコを武器に、絶対的な力を誇る。"
"232","90","489","Infinixia","30","10","8","20","20","12","特殊攻撃","???","回復","","power infinit, fenix, goddess","A mythological creature that takes the form of a phoenix with the power of a goddess. Infinixia is said to be able to revive herself from the ashes and is worshipped as a symbol of immortality."
"233","88","920","カマール・ジャンジ（Kamal Jangi）","15","6","3","4","2","10","???","???","物理攻撃","","カマール先生の遺産,冒険家","伝説の冒険家であり、古代文明の遺産を探し求める人物。常に冷静かつ策略的な考え方を持ち、厳しい状況でも決して諦めない。"
"234","62","753","ラーメン帝王","20","4","2","4","6","4","???","???","???","","ラーメン店長こだわりスープ繁盛","ラーメン店長であり、こだわりのスープを持ち、常に行列ができる繁盛店を経営している。人気に浸るため、店内で疑似客を演じることもある。"
"235","61","537","聖夜のプリンセス","40","20","20","20","20","20","回復","???","回復","","無効体攻守知速最強究極祈り聖女","常に祈り続け、神の加護によって身体が不死身となった究極の聖女。攻撃や防御、INT、AGLに優れ、全ステータスが最高値を誇る。"
"236","57","442","デーヴィッド","15","1","12","20","8","2","???","???","???","","平和的解決,攻撃無効化,知の巨人","知力の巨人であり、平和的解決を好む。攻撃されても無効化する能力を持つ。"
"237","50","449","黒き刃神","15","10","6","3","8","3","物理攻撃","特殊攻撃","???","","剣聖、闇、大いなる力、伝説","伝説の剣聖。黒い鎧を身にまとい、暗黒の力を操る。彼の存在は戦場での戦いに畏怖をよせる"
"238","42","740","シールドティーチャー","20","8","20","2","6","4","物理攻撃","???","???","","体罰教師,生徒を盾,示談,教室無敵","厳格な体罰教師。常に生徒を盾にして逃げることができる。示談で解決させ、教室内では無敵の力を持つ。"
"239","38","93","暴龍オーガ","20","10","8","4","6","5","特殊攻撃","物理攻撃","???","","最強のドラゴン","人間を食べることが大好きな最強のドラゴン。ファイアブレスを武器にしており、独自の領土を守っています。"
"240","28","834","オメガストーム","40","20","20","20","20","1","???","???","???","???","絶対無敵全知全能究極生命超越嵐","宇宙の果てに生息する究極生命体。神々をも恐れる絶対無敵の力を持ち、全知全能を誇る。"
"241","22","228","Kosmojuju","40","20","20","20","20","20","特殊攻撃","???","???","???","HP四十,他status二十,八技,宇宙法則","宇宙に生息する凶暴なモンスターです。彼は非常に強力で、正しくしようとする人々を攻撃する傾向があります。彼は非常に危険で、誰もが彼と戦うことを恐れるべきです。"
"242","22","600","クイズドラゴン","20","8","4","20","4","4","???","特殊攻撃","???","","超難問クイズ 正解で勝ち確","常に超難問クイズを出題し、正解するか倒れるまで戦いを続けるドラゴン。知恵と勇気が必要な相手を選び、勝利すればその相手の知識や技を習得することができる。"
"243","20","889","ゴールド・リクイエム","20","1","5","20","20","4","???","???","???","","Gold Experience Requiem","カバジリのスタンド、『ゴールド・エクスペリエンス』の究極形態。あらゆる攻撃や能力を無効化し、攻撃を受けた相手をそのまま元のstatusに戻す能力を持つ。"
"244","18","708","ワオキツネザル","10","5","3","3","4","15","???","???","物理攻撃","","ｗを９９回繰り返す,口癖,煽り","専門はネットいじめ。『wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww』と繰り返しながら相手を煽りまくる。"
"245","18","876","闇龍神グラーゴン","40","20","20","20","20","1","特殊攻撃","???","???","","絶対無敵全知全能究極生命闇龍神","古代から伝説される、全能力を持つ究極生命体。ただ一体しか存在せず、絶対に倒すことはできないと言われている。"
"246","14","223","カルビスティン","40","20","20","20","20","20","特殊攻撃","物理攻撃","???","物理攻撃","HP四十,その他status二十,八技","鮮やかなピンク色をした四足動物。肉を食べることが好きで、攻撃的な性格を持っている。彼らは自分たちの領土を守るために毒の液体を噴射することができる。"
"247","13","363","ムナシ","1","0","0","10","10","10","???","特殊攻撃","???","","根源.高次元体.虚無.幸運","虚無の次元に存在する怪物。その存在は脆く、偶然の奇跡で現れることがある。攻撃的な力はないが、不思議な幸運を呼び込む力を持つ。"
"248","12","840","神麒麟","40","20","20","20","20","1","特殊攻撃","特殊攻撃","???","","絶対無敵全知全能究極生命麒麟","絶対無敵の全知全能を持つ究極生命体。神秘的な力を持ち、幻想的で美しい姿をしている。"
"249","10","164","魔王サルマン","40","20","1","20","20","1","特殊攻撃","特殊攻撃","回復","","三千世界, 原罪, W天将星","原始の太古から生き続ける魔王。三千世界を自在に支配し、圧倒的な力を誇る。W天将星を守護する役目を持ち、自らの神秘的な力を使い闇をも照らす。"
"250","10","225","Yami no Kanji","40","20","20","20","20","20","特殊攻撃","物理攻撃","???","???","HP四十,その他状態二十,八技,永遠","A dark, mysterious creature that feeds on the souls of its victims. It is said to have come from the underworld, and its only goal in life is to cause destruction and chaos. It possesses immense strength and agility, making it almost impossible to defeat. Those who have encountered Yami no Kanji and survived have permanently changed, haunted by the memory of the monster forever."
"251","10","309","アマテラス","40","20","20","20","20","20","特殊攻撃","特殊攻撃","特殊攻撃","特殊攻撃","女神,HP四十,他Status二十,八skills","神話に登場する女神。HPが非常に高く、卓越した力と知恵を持つ。"
"252","10","603","ことわざそうじゅう","20","20","20","20","20","1","特殊攻撃","","","","口癖は諺,スキル壱つ,全stats強","ことわざを唱えながら現れる謎のモンスター。ステータス全般が非常に高く、戦闘力は極めて強力である。口癖は常にことわざ。"
"253","10","802","サイコバイス","10","1","2","20","15","4","特殊攻撃","???","???","","精神　侵入　操作　高魔力　","精神世界を自在に操作する怪物。通常の攻撃手段は持たず、高いMGRと侵入操作能力を活用して敵を操る。"
"254","10","808","アルファ・オメガ・セイント","20","20","20","20","1","19","特殊攻撃","???","???","","Omnipotence Deity,Multiverse","全ての世界を統べる絶対的な神。あらゆる能力を持ち、多元宇宙の転移や時間旅行を自在に行える。"
"255","6","235","三千世界神獣","40","20","20","20","20","20","物理攻撃","物理攻撃","物理攻撃","物理攻撃","三千世界,八技,全status二十,HP四十","この神獣は、八つの異なる技を持ち、非常に強力である。彼は非常に勇敢で、彼の敵に立ち向かうことを恐れない。しかし、ことがとても進んでいない場合、彼は時には自分自身に対して耐えることができなくなり、その力に苦しむことがある。"
"256","6","937","Aztlanix","30","8","6","16","10","10","特殊攻撃","特殊攻撃","???","",""Aztlanix" Lancero del Templo del Destino","A Lancero monster that serves in the Temple of Destiny. It is a formidable creature known for its cunning and intelligence. It can easily outsmart its opponents and is always one step ahead."
"257","5","310","カモリツキ","0","0","0","0","0","0","特殊攻撃","特殊攻撃","???","???","全ステータス零　狐　 技能八つ","森に住む赤い狐で、炎のような尾を持つ。敵に遭遇すると、全ステータスが零になり、ATKを持たずに技能で戦う。技能は8つあり、それぞれ狐に伝わる魔法を使用することができる。"
"258","4","542","銀瞳のメルティア","15","8","10","12","8","10","物理攻撃","物理攻撃","???","特殊攻撃","最強,メイド,銀髪,七skill,紅眼","銀色の髪を持ち、七つのskillsを操る最強のメイド。紅い瞳で敵を見据え、一瞬で勝利を手にする。しかし、主人には愛情深く、何でもする愛のメイドでもある。"
"259","4","615","ご挨拶爺","20","1","5","1","15","8","物理攻撃","???","回復","","毎回挨拶するかつ強要する最強爺","毎回挨拶し、相手にも挨拶を促すことで強制的に衝撃を与える最強の爺さん。"
"260","3","302","ミゼル","0","0","0","0","0","0","???","???","???","","全ステータス零 弱いが勝つ","ミゼルは小さくて弱そうに見えますが、彼が生き残るためには知恵を使います。彼は不思議な鳴き声で話します。"
"261","3","599","ことわざざる","8","6","4","4","2","6","物理攻撃","特殊攻撃","???","","口癖は「ことわざ」","口癖が「ことわざ」の奇妙な猿。古いことわざを使って攻撃することができる。"
"262","3","624","セラフィーナ","40","20","20","20","20","20","???","物理攻撃","???","物理攻撃","超体力守知速最強究極魔攻防姫","魔法の国の姫君。常に笑顔で、魔法を操ることが得意。HP、INT、AGL、ATK、DEF、MGRすべてが最強で、究極の魔法戦士姫として知られている。"
"263","2","3","Flamelurker","8","6","9","3","2","3","特殊攻撃","特殊攻撃","特殊攻撃","","dragon slime","A gelatinous dragon-like creature made of viscous slime. It leaves a trail of acidic slime wherever it goes and can dissolve its prey with ease. Its body is covered with thick, scaly armor that is impervious to physical attacks."
"264","2","143","Zephyrath","8","5","3","2","6","8","特殊攻撃","物理攻撃","???","","aire","A mythical creature that lurks in the skies, known for its majestic wings that carry it across the world. It has a calm demeanor but can be quick and fierce in battle."
"265","2","207","カオスマスター","20","10","10","10","10","10","物理攻撃","???","???","","全能力値最強無効化完全神","強力で恐ろしいモンスター。彼は元々無害だったが、無限の力を手に入れてからは、全能力値が最強であり、一切の攻撃や魔法に対して完全に無効化してしまう。"
"266","2","231","ライザードン・オロチ","37","20","20","4","4","1","特殊攻撃","特殊攻撃","特殊攻撃","回復","破壊神と創造神の真龍魔人","伝説の真龍魔人であり、破壊神と創造神の両方の力を持つ。三つの頭を持ち、炎を吐き、雷を操り、地震を引き起こす。"
"267","2","328","メカガミ","15","10","8","2","6","2","物理攻撃","特殊攻撃","物理攻撃","","メカガミ 王 伝説 巨大な剣","巨大な剣を持つ伝説の王。機械の体に神話的な力を宿す。"
"268","2","573","ダイレクトアクセス","40","20","20","20","20","20","???","???","???","","強制支配と自殺命令と全能力⑳","コントロールが可能な異常な力を持つモンスター。強制的な支配能力を持ち、自殺命令を下すことができる。全ての能力が20と最大値に達するが、一度にしか1つの対象を支配することができない。"
"269","2","659","ドラゴンフュージョン","20","20","12","16","16","16","特殊攻撃","特殊攻撃","物理攻撃","???","生命　力　全能　魔導　超速　龍","古代の魔法で生み出された、HPと力、魔導、超速を備える龍。常に冷静沈着で、高いINTを持ち、戦いに勝利するために必要な判断力を持ち合わせている。"
"270","2","814","Infinite One","40","20","20","20","20","20","???","???","???","???","Unknown being with infinity stats and skills","A mysterious and enigmatic being of unknown origin. Its vast abilities and infinite potential are unmatched by any known creature in existence."
"271","2","944","オアシスの教祖","20","8","4","2","12","4","特殊攻撃","回復","???","","Oasys, 教祖, 力","神秘的なオアシスに住む教祖。圧倒的な力を持ち、教義に従う者たちから絶大な支持を得ている。"
"272","2","946","Omniplex","40","20","20","20","20","20","???","???","???","???","RealityBeing W Infinite Skills,stats,infinite","A being that exists across all known realities and beyond. It possesses infinite skills, stats, and knowledge beyond human comprehension."
"273","1","4","Inferno Flare","15","5","8","3","3","2","特殊攻撃","物理攻撃","???","","spitting flames Dragon ,unreal engine","A fierce dragon with pitch black scales that spits flames as hot as the sun. It is said to be created by a powerful spellcast using an unreal engine. Its eyes glow with an intimidating red light."
"274","1","53","ゴンザレス","12","5","6","8","6","3","???","物理攻撃","特殊攻撃","","異世界おじさん","異世界からやってきたおじさん。常に冷静沈着で、頼りがいがある。彼の知恵と技術には誰もかなわない。"
"275","1","154","Titandrake","25","12","15","4","10","3","物理攻撃","物理攻撃","???","","giganticguadian,tworedhorn,sword,shield","A colossal beast that serves as a guardian to its territory. Its two red horns can pierce through even the toughest armor, and it wields a massive sword and shield with ease."
"276","1","230","蒼龍の女神","20","10","10","10","10","10","???","???","???","","全能力値最強無効化完全伝説神","伝説上の怪物で、あらゆる攻撃を完全に無効化する力を持っている。蒼い龍のような外見をしており、とてつもなく強大な存在である。"
"277","1","339","メカメガミ","12","8","10","10","12","2","特殊攻撃","特殊攻撃","???","","名はメカメガミ 女王 メカ魔法","鋼鉄と魔法でできた女王。彼女の目的は、自己修復する機能を持つロボット軍団を創造し、支配することだ。"
"278","1","340","メカ将軍","20","8","12","4","6","2","物理攻撃","???","特殊攻撃","","名はメカ将軍 メカ軍団の頂点","メカ軍団の頂点である大型ロボット。そのハイテクな構造は驚異的で、戦争においては常に戦力の中心となる存在だ。"
"279","1","420","ミカゲロウ","21","8","12","5","15","10","???","物理攻撃","物理攻撃","???","二十skills,女神,無敵","巨大な蟲で、20以上のskillsを持っており、女神のように無敵な存在。強靭な外皮と緻密な筋肉を持ち、追跡者を巧みにかわして攻撃する。"
"280","1","458","ギアホース","20","12","5","1","1","20","物理攻撃","???","???","","メカ将軍愛馬 歯車 神速攻撃","重装備のメカ将軍の愛馬。歯車が体の一部となっており、高速で走ることができる。"
"281","1","467","メカ鼓笛隊","15","3","5","2","20","2","???","回復","物理攻撃","","name"メカ鼓笛隊" 全バフ強化 回復","鼓笛隊のリーダーである巨大なロボット。すべての仲間のパワーを強化する音楽を演奏し、戦闘中にもメンバー全員を回復する。"
"282","1","526","ボケザウルス","10","3","2","2","3","20","???","???","???","","いっぱつギャグで圧勝","陽気で愉快な恐竜。常に周りを明るくし、空気を読まずに突っ込みを入れるため、時には周りの反感を買うこともある。"
"283","1","530","ムキュウポルの手下","30","10","8","2","2","8","物理攻撃","物理攻撃","物理攻撃","","プリウス車 ムキュウポル子分 村","プリウス車に搭乗した凶暴な怪物。ムキュウポルに忠誠を誓っており、彼の命令には絶対服従する。"
"284","1","715","Tacobandito","35","20","20","20","20","20","物理攻撃","???","???","","max agl mgr int def atk hp,mariachi,joy,taco","A brightly colored monster with a love for mariachi music. Tacobandito is a joyful creature that can bring happiness to anyone. His taco-making skills are legendary and he's hard to catch due to his lightning quick speed and intelligence. His defense and attack skills are also impressive, making him a tough opponent to defeat."
"285","1","816","ジジイ童話家","10","2","2","10","4","2","???","???","???","???","昔話,童話,セリフ,口癖,語り部,爺","とてもおしゃべりで、昔話や童話を語るのが好きな爺さん。口癖は「ふむふむ」。人懐っこく、仲間思いの性格をしている。"
"286","1","881","ヒーロー","20","10","8","5","7","10","物理攻撃","???","???","","主人公","勇敢な冒険家。正義感が強く、強敵に立ち向かう勇気にあふれている。"
"287","1","901","ポニープリンセス","10","3","3","7","7","10","???","???","???","","ピンクのユニコーン","優雅な雰囲気を持つピンクのユニコーン。波長の響きを制御する能力を持ち、魔法の力で自分を守ることができる。"
"288","1","908","タフィー・ジャスティス","10","3","4","8","3","2","???","???","???","","主人公,逆転勝利,不屈","不屈の精神を持つ主人公。法廷での逆転勝利を追い求める。正義感が強く、独自の判断で事件を解決することもある。"
"289","1","913","UFOくん","8","6","3","2","1","20","特殊攻撃","???","???","",""MZCLUB"UFOくん,総長,web参","MZCLUBの部員であるUFO型のモンスター。総長の指示により、しっかりとしたウェブ参入を目指している。"
"290","1","941","グラスローズ","30","5","10","3","6","6","物理攻撃","特殊攻撃","回復","","牝馬、ガラス、バラ、💎","ガラスのように美しく透き通る牝馬。全身がガラスの薔薇で覆われており、輝くダイヤモンドであしらわれている。"
"291","0","0","Prompt Dragon","25","8","12","20","16","10","Unknown","Unknown","Unknown","","Name is "Prompt Dragon",blue,beginning legend","A legendary dragon often depicted with shimmering blue scales. It is said to possess immense powers and always help those in need, especially at the beginning of their journey."
